0.330   1.54393	1.002586E-06
0.33331 1.5431	8.71E-07
1.039	1.5069	2.97E-07
1.0437	1.5068	2.96E-07
1.0484	1.5067	2.95E-07
1.0531	1.5067	2.94E-07
1.0578	1.5066	2.93E-07
1.0625	1.5066	2.92E-07
1.0672	1.5065	2.91E-07
1.0719	1.5064	2.9E-07
1.0772	1.5064	2.89E-07
1.0819	1.5063	2.88E-07
1.0873	1.5062	2.87E-07
1.0921	1.5062	2.86E-07
1.0972	1.5061	2.85E-07
1.1061	1.506	2.83E-07
1.1216	1.5058	2.8E-07
1.1371	1.5056	2.77E-07
1.1525	1.5054	2.74E-07
1.1679	1.5052	2.71E-07
1.1833	1.505	2.68E-07
1.1987	1.5048	2.65E-07
1.214	1.5047	2.63E-07
1.2293	1.5045	2.6E-07
1.2446	1.5043	2.57E-07
1.2599	1.5041	2.55E-07
1.2751	1.5039	2.52E-07
1.2904	1.5037	2.5E-07
1.3055	1.5036	2.47E-07
1.3207	1.5034	2.45E-07
1.3358	1.5032	2.42E-07
1.351	1.503	2.4E-07
1.366	1.5028	2.38E-07
1.3811	1.5027	2.35E-07
1.3961	1.5025	2.33E-07
1.4112	1.5023	2.31E-07
1.4261	1.5021	2.29E-07
1.4411	1.5019	2.27E-07
1.456	1.5018	2.25E-07
1.471	1.5016	2.23E-07
1.4858	1.5014	2.21E-07
1.5007	1.5012	2.19E-07
1.5155	1.5011	2.17E-07
1.5303	1.5009	2.15E-07
1.5451	1.5007	2.14E-07
1.5599	1.5005	2.12E-07
1.5746	1.5003	2.1E-07
1.5893	1.5002	2.08E-07
1.604	1.5	2.07E-07
1.6187	1.4998	2.05E-07
1.6333	1.4996	2.03E-07
1.6479	1.4994	2.02E-07
1.6625	1.4993	2E-07
1.677	1.4991	1.99E-07
1.6916	1.4989	1.97E-07
1.7061	1.4987	1.95E-07
1.710	1.4986	0
1.715	1.4985	0
1.720	1.4985	0
1.725	1.4984	0
1.730	1.4983	0
1.735	1.4983	0
1.740	1.4982	0
1.745	1.4981	0
1.750	1.4981	0
1.755	1.498	0
1.760	1.4979	0
1.765	1.4979	0
1.770	1.4978	0
1.775	1.4977	0
