#"Angle (Deg)" n_values Transmission Reflection
0 1.4230886167859 0.9695123404001299 0.030487659599870123
0 1.418989119738 0.9699988666825561 0.030001133317443956
0 1.4152626506189 0.970439143554356 0.029560856445644036
0 1.4118736932799 0.970837887103372 0.02916211289662801
0 1.4087899348008 0.9711993338753264 0.02880066612467355
0 1.406013423153 0.9715236257473391 0.028476374252660926
0 1.403451178233 0.9718219220024958 0.02817807799750413
0 1.4011392298917 0.9720902731459847 0.027909726854015222
0 1.3990042606259 0.972337398032693 0.027662601967306914
0 1.3970543081151 0.9725625290406791 0.027437470959320944
0 1.3952547546048 0.9727698029639273 0.0272301970360726
0 1.3936104172929 0.9729587828743096 0.027041217125690357
0 1.3920928837393 0.9731328350168098 0.026867164983190236
0 1.3906930636314 0.9732930828789765 0.026706917121023518
0 1.3894021962629 0.9734405989914872 0.02655940100851286
0 1.3882119238027 0.9735763981833416 0.02642360181665837
0 1.387114337156 0.9737014338889863 0.02629856611101367
0 1.386094468574 0.9738174530191223 0.026182546980877793
0 1.385147751321 0.9739250095050341 0.026074990494965897
0 1.3842755731536 0.9740239770658132 0.025976022934186823
0 1.3834660511646 0.9741157311767605 0.025884268823239468
0 1.3827100519167 0.9742013283943406 0.02579867160565945
0 1.3820135622524 0.9742801102088631 0.025719889791136884
0 1.381359367534 0.97435404008592 0.02564595991408002
0 1.3807529936357 0.9744225069666266 0.025577493033373415
0 1.380187376075 0.9744863208596733 0.02551367914032667
0 1.379659783282 0.9745458001852902 0.025454199814709734
0 1.3791675195011 0.9746012577711901 0.025398742228809848
0 1.3787056326739 0.9746532589856135 0.02534674101438648
0 1.3782722423115 0.9747020218274943 0.025297978172505696
0 1.3778654290185 0.974747767785636 0.02525223221436405
0 1.3774832703664 0.9747907178726392 0.025209282127360844
0 1.3771222877017 0.974831267123669 0.025168732876331014
0 1.3767810397294 0.97486958087488 0.025130419125119995
0 1.3764580520954 0.9749058276805616 0.025094172319438425
0 1.3761506312517 0.9749403123715117 0.025059687628488304
0 1.3758587136554 0.9749730443026815 0.02502695569731852
0 1.3755797952111 0.9750043061989995 0.024995693801000512
0 1.3753117156635 0.9750343417437798 0.024965658256220206
0 1.3750543571762 0.9750631654900632 0.024936834509936723
0 1.3748048358874 0.9750911015463052 0.024908898453694803
0 1.37456304318 0.9751181629809915 0.02488183701900853
0 1.3743271722957 0.9751445527798791 0.02485544722012091
0 1.3740962747754 0.975170377659723 0.024829622340276955
0 1.3738687190303 0.9751958205550123 0.024804179444987747
0 1.373643616818 0.9752209810858751 0.024779018914124953
0 1.3734218941111 0.9752457560573035 0.024754243942696576
0 1.3731929568741 0.9752713290207888 0.0247286709792112
0 1.3729709541023 0.975296119471195 0.024703880528805008
0 1.3727431138139 0.9753215536740999 0.02467844632590012
0 1.3725142998158 0.9753470883026036 0.024652911697396397
0 1.3722780363801 0.9753734455506413 0.02462655444935872
0 1.3720389088426 0.9754001133016957 0.02459988669830421
0 1.3717905296533 0.9754278031991601 0.024572196800839895
0 1.3715319527736 0.9754566195498268 0.024543380450173288
0 1.3712675594927 0.9754860731034818 0.02451392689651826
0 1.3709854791133 0.9755174847476221 0.024482515252377882
0 1.3706954434578 0.9755497690567235 0.024450230943276446
0 1.3703964599229 0.9755830353333045 0.0244169646666955
0 1.3700762551684 0.9756186469636504 0.024381353036349585
0 1.3697390665892 0.9756561297518765 0.024343870248123484
0 1.3693835845321 0.9756956264074266 0.024304373592573373
0 1.3690024327231 0.9757379526878875 0.024262047312112484
0 1.3686061153941 0.9757819383821987 0.02421806161780132
0 1.3681809750469 0.9758290950060469 0.024170904993953093
0 1.3677250109119 0.975879638326131 0.024120361673868964
0 1.3672428035241 0.9759330542875612 0.024066945712438864
0 1.3667327244941 0.975989516902044 0.024010483097956
0 1.3661788698212 0.9760507776359378 0.02394922236406219
0 1.3655928572151 0.9761155412658622 0.023884458734137855
0 1.3649652733482 0.9761848374542305 0.023815162545769517
0 1.3642934880954 0.9762589433623191 0.023741056637680894
0 1.3635666252254 0.9763390422503362 0.023660957749663855
0 1.3627977683561 0.9764236749844166 0.02357632501558338
0 1.3619673463993 0.9765149759473103 0.023485024052689672
0 1.361071267973 0.9766133686604443 0.023386631339555684
0 1.3601145744763 0.9767182713510834 0.02328172864891669
0 1.3590840343388 0.9768311024642412 0.023168897535758834
0 1.3579748769266 0.9769523447164848 0.02304765528351515
0 1.3567820664349 0.9770825029848055 0.02291749701519457
0 1.3555002882046 0.9772221047778265 0.022777895222173605
0 1.3541239331455 0.977371700769078 0.022628299230921994
0 1.3526353155967 0.9775331397699528 0.02246686023004723
0 1.3510267625097 0.9777071644922294 0.02229283550777066
0 1.349302847313 0.9778931817135196 0.022106818286480437
0 1.3474299077205 0.9780947035468581 0.021905296453141872
0 1.3454247385845 0.9783097842465371 0.021690215753462902
0 1.3432503787694 0.9785422264132531 0.02145777358674696
0 1.3408945051924 0.9787931425291412 0.021206857470858768
0 1.3383595609042 0.9790620421229581 0.02093795787704187
0 1.3356005919792 0.9793534124008978 0.020646587599102158
0 1.3326343916511 0.9796651510639974 0.020334848936002608
0 1.329410893396 0.980002131438791 0.019997868561208984
0 1.3259098020647 0.980365985511607 0.01963401448839297
0 1.3221286649864 0.9807564059668085 0.019243594033191504
0 1.3180050482208 0.981179148253668 0.018820851746331944
0 1.3135313544617 0.9816341438743272 0.018365856125672715
0 1.3086559995158 0.9821256196806372 0.017874380319362854
0 1.3033437265678 0.9826558695661404 0.017344130433859677
0 1.2975806699443 0.9832247926563669 0.016775207343633112
0 1.2912479870418 0.9838422206921532 0.01615777930784675
