0.3340	1.588335529366         4.888462e-07
0.3541	1.582874747640         1.728286e-07
0.3742	1.578397941862         6.557008e-08
0.3943	1.574672212863         2.879213e-08
0.4144	1.571531368150         2.169169e-08
0.4346	1.568853730136         1.828001e-08
0.4547	1.566548263287         1.547035e-08
0.4748	1.564545583444         1.234114e-08
0.4949	1.562791951210         8.892863e-09
0.5150	1.561245153064         6.972936e-09
0.5351	1.559871612409         5.529889e-09
0.5552	1.558644322765         4.882484e-09
0.5753	1.557541343041         6.903260e-09
0.5954	1.556544684760         9.053716e-09
0.6156	1.555639477534         9.806681e-09
0.6357	1.554813335220         1.012708e-08
0.6558	1.554055868926         1.044748e-08
0.6759	1.553358308879         1.076788e-08
0.6960	1.552713207978         1.108828e-08
0.7161	1.552114207307         1.048880e-08
0.7362	1.551555849118         9.603066e-09
0.7563	1.551033426546         8.653097e-09
0.7764	1.550542861965         7.638907e-09
0.7966	1.550080607879         6.560518e-09
0.8167	1.549643565675         7.586391e-09
0.8368	1.549229018618         9.114083e-09
0.8569	1.548834576295         1.070651e-08
0.8770	1.548458128322         1.236368e-08
0.8971	1.548097805558         1.408562e-08
0.9172	1.547751947490         1.461266e-08
0.9373	1.547419074653         1.493306e-08
0.9574	1.547097865246         1.525346e-08
0.9776	1.546787135198         1.557386e-08
0.9977	1.546485821126         1.589426e-08
1.0178	1.546192965717         1.693606e-08
1.0379	1.545907705132         1.810301e-08
1.0580	1.545629258131         1.930230e-08
1.0781	1.545356916649         2.053393e-08
1.0982	1.545090037603         2.179792e-08
1.1183	1.544828035749         2.309425e-08
1.1384	1.544570377449         2.442295e-08
1.1586	1.544316575197         2.578401e-08
1.1787	1.544066182816         2.717745e-08
1.1988	1.543818791230         2.860325e-08
1.2189	1.543574024731         3.465712e-08
1.2390	1.543331537671         4.120070e-08
1.2591	1.543091011537         4.794182e-08
1.2792	1.542852152349         5.488067e-08
1.2993	1.542614688343         6.201742e-08
1.3194	1.542378367904         6.935225e-08
1.3396	1.542142957722         7.688536e-08
1.3597	1.541908241134         8.461691e-08
1.3798	1.541674016650         9.254709e-08
1.3999	1.541440096611         1.006761e-07
1.4200	1.541206305997         9.988013e-08
1.4401	1.540972481347         9.896974e-08
1.4602	1.540738469778         9.799489e-08
1.4803	1.540504128108         9.695561e-08
1.5004	1.540269322056         9.585190e-08
1.5206	1.540033925517         9.468380e-08
1.5407	1.539797819907         9.345131e-08
1.5608	1.539560893563         9.215447e-08
1.5809	1.539323041198         9.079328e-08
1.6010	1.539084163408         9.007345e-08
1.6211	1.538844166216         1.029680e-07
1.6412	1.538602960660         1.161652e-07
1.6613	1.538360462412         1.296656e-07
1.6814	1.538116591433         1.434696e-07
1.7016	1.537871271655         1.575775e-07
1.7217	1.537624430688         1.719899e-07
1.7418	1.537375999548         1.867071e-07
1.7619	1.537125912418         2.017295e-07
1.7820	1.536874106411         2.170577e-07
1.8021	1.536620521368         2.438248e-07
1.8222	1.536365099659         3.676789e-07
1.8423	1.536107786007         4.952385e-07
1.8624	1.535848527318         6.265551e-07
1.8826	1.535587272535         7.616813e-07
1.9027	1.535323972489         9.006713e-07
1.9228	1.535058579770         1.043580e-06
1.9429	1.534791048607         1.190465e-06
1.9630	1.534521334750         1.341384e-06
1.9831	1.534249395366         1.496395e-06
2.0032	1.533975188942         1.655561e-06
2.0233	1.533698675191         1.818944e-06
2.0434	1.533419814969         1.986608e-06
2.0636	1.533138570194         2.158618e-06
2.0837	1.532854903768         2.335043e-06
2.1038	1.532568779515         2.515952e-06
2.1239	1.532280162107         2.701415e-06
2.1440	1.531989017009         2.891507e-06
2.1641	1.531695310421         3.086301e-06
2.1842	1.531399009221         3.285876e-06
2.2043	1.531100080916         3.490310e-06
2.2244	1.530798493596         3.699685e-06
2.2446	1.530494215889         3.914085e-06
2.2647	1.530187216918         4.133597e-06
2.2848	1.529877466259         4.358308e-06
2.3049	1.529564933909         4.588310e-06
2.3250	1.529249590248         4.823698e-06
