0.3340	1.662482790841         2.254169e-06
0.3541	1.650885339564         4.977055e-07
0.3742	1.641863322628         7.567800e-08
0.3943	1.634645150234         3.909544e-08
0.4144	1.628744245754         2.366373e-08
0.4346	1.623836347005         1.631424e-08
0.4547	1.619695996876         1.045789e-08
0.4748	1.616161085434         7.971920e-09
0.4949	1.613111834097         6.717997e-09
0.5150	1.610457723806         6.570333e-09
0.5351	1.608129035208         6.826909e-09
0.5552	1.606071189034         7.083485e-09
0.5753	1.604240851929         7.340061e-09
0.5954	1.602603191657         7.596638e-09
0.6156	1.601129901598         7.853214e-09
0.6357	1.599797752657         8.109790e-09
0.6558	1.598587514490         8.366366e-09
0.6759	1.597483140211         8.708746e-09
0.6960	1.596471142224         9.079717e-09
0.7161	1.595540108790         9.457158e-09
0.7362	1.594680325614         9.841068e-09
0.7563	1.593883476780         1.023145e-08
0.7764	1.593142406296         1.062830e-08
0.7966	1.592450926413         1.103162e-08
0.8167	1.591803662395         1.144141e-08
0.8368	1.591195925917         1.185768e-08
0.8569	1.590623611148         1.228042e-08
0.8770	1.590083108940         1.270963e-08
0.8971	1.589571235566         1.314532e-08
0.9172	1.589085173219         1.358748e-08
0.9373	1.588622420095         1.403611e-08
0.9574	1.588180748313         1.449122e-08
0.9776	1.587758168282         1.495280e-08
0.9977	1.587352898407         1.542086e-08
1.0178	1.586963339225         1.589540e-08
1.0379	1.586588051251         1.637642e-08
1.0580	1.586225735913         1.686391e-08
1.0781	1.585875219117         1.786771e-08
1.0982	1.585535437008         1.895451e-08
1.1183	1.585205423612         2.006908e-08
1.1384	1.584884300071         2.121141e-08
1.1586	1.584571265237         2.238153e-08
1.1787	1.584265587445         2.357943e-08
1.1988	1.583966597273         2.480514e-08
1.2189	1.583673681188         2.605865e-08
1.2390	1.583386275921         2.733997e-08
1.2591	1.583103863508         2.864912e-08
1.2792	1.582825966880         2.998611e-08
1.2993	1.582552145961         3.135094e-08
1.3194	1.582281994181         3.274362e-08
1.3396	1.582015135372         3.416416e-08
1.3597	1.581751220999         3.561257e-08
1.3798	1.581489927670         3.708887e-08
1.3999	1.581230954914         3.859305e-08
1.4200	1.580974023178         4.012513e-08
1.4401	1.580718872023         4.168511e-08
1.4602	1.580465258508         4.327301e-08
1.4803	1.580212955718         4.488884e-08
1.5004	1.579961751441         4.653260e-08
1.5206	1.579711446969         4.820430e-08
1.5407	1.579461856008         7.184667e-08
1.5608	1.579212803694         1.124278e-07
1.5809	1.578964125687         1.543536e-07
1.6010	1.578715667361         1.976417e-07
1.6211	1.578467283051         2.423100e-07
1.6412	1.578218835376         2.883771e-07
1.6613	1.577970194616         3.358618e-07
1.6814	1.577721238142         3.847833e-07
1.7016	1.577471849891         4.351615e-07
1.7217	1.577221919893         4.870166e-07
1.7418	1.576971343827         5.403692e-07
1.7619	1.576720022619         5.952407e-07
1.7820	1.576467862067         6.516526e-07
1.8021	1.576214772505         7.096272e-07
1.8222	1.575960668480         7.691873e-07
1.8423	1.575705468465         8.303564e-07
1.8624	1.575449094585         8.931583e-07
1.8826	1.575191472374         9.576176e-07
1.9027	1.574932530541         1.023760e-06
1.9228	1.574672200755         1.091610e-06
1.9429	1.574410417448         1.161195e-06
1.9630	1.574147117632         1.232543e-06
1.9831	1.573882240727         1.305681e-06
2.0032	1.573615728403         1.380638e-06
2.0233	1.573347524430         1.457443e-06
2.0434	1.573077574543         1.536126e-06
2.0636	1.572805826309         1.616720e-06
2.0837	1.572532229015         1.699256e-06
2.1038	1.572256733545         1.783766e-06
2.1239	1.571979292287         1.870285e-06
2.1440	1.571699859026         1.958848e-06
2.1641	1.571418388858         2.049490e-06
2.1842	1.571134838100         2.142249e-06
2.2043	1.570849164213         2.237162e-06
2.2244	1.570561325725         2.334270e-06
2.2446	1.570271282159         2.433611e-06
2.2647	1.569978993969         2.535228e-06
2.2848	1.569684422475         2.639165e-06
2.3049	1.569387529804         2.745465e-06
2.3250	1.569088278835         2.854174e-06
