0.3500	1.446582942711         0.000000e+00
0.3657	1.444893911983         0.000000e+00
0.3813	1.443422071625         0.000000e+00
0.3970	1.442130733914         0.000000e+00
0.4126	1.440990723753         0.000000e+00
0.4283	1.439978584930         0.000000e+00
0.4439	1.439075271653         0.000000e+00
0.4596	1.438265179689         0.000000e+00
0.4753	1.437535419177         0.000000e+00
0.4909	1.436875262081         0.000000e+00
0.5066	1.436275717581         0.000000e+00
0.5222	1.435729202409         0.000000e+00
0.5379	1.435229282452         0.000000e+00
0.5535	1.434770468428         0.000000e+00
0.5692	1.434348053002         0.000000e+00
0.5848	1.433957979952         0.000000e+00
0.6005	1.433596738329         0.000000e+00
0.6162	1.433261276282         0.000000e+00
0.6318	1.432948930436         0.000000e+00
0.6475	1.432657367711         0.000000e+00
0.6631	1.432384537094         0.000000e+00
0.6788	1.432128629480         0.000000e+00
0.6944	1.431888044058         0.000000e+00
0.7101	1.431661360045         0.000000e+00
0.7258	1.431447312817         0.000000e+00
0.7414	1.431244773666         0.000000e+00
0.7571	1.431052732565         0.000000e+00
0.7727	1.430870283444         0.000000e+00
0.7884	1.430696611557         0.000000e+00
0.8040	1.430530982609         0.000000e+00
0.8197	1.430372733379         0.000000e+00
0.8354	1.430221263586         0.000000e+00
0.8510	1.430076028832         0.000000e+00
0.8667	1.429936534448         0.000000e+00
0.8823	1.429802330128         0.000000e+00
0.8980	1.429673005217         0.000000e+00
0.9136	1.429548184582         0.000000e+00
0.9293	1.429427524977         0.000000e+00
0.9449	1.429310711830         0.000000e+00
0.9606	1.429197456410         0.000000e+00
0.9763	1.429087493312         0.000000e+00
0.9919	1.428980578221         0.000000e+00
1.0076	1.428876485932         0.000000e+00
1.0232	1.428775008569         0.000000e+00
1.0389	1.428675954014         0.000000e+00
1.0545	1.428579144481         0.000000e+00
1.0702	1.428484415252         0.000000e+00
1.0859	1.428391613538         0.000000e+00
1.1015	1.428300597449         0.000000e+00
1.1172	1.428211235073         0.000000e+00
1.1328	1.428123403644         0.000000e+00
1.1485	1.428036988786         0.000000e+00
1.1641	1.427951883830         0.000000e+00
1.1798	1.427867989200         0.000000e+00
1.1955	1.427785211850         0.000000e+00
1.2111	1.427703464755         0.000000e+00
1.2268	1.427622666445         0.000000e+00
1.2424	1.427542740585         0.000000e+00
1.2581	1.427463615588         0.000000e+00
1.2737	1.427385224264         0.000000e+00
1.2894	1.427307503495         0.000000e+00
1.3051	1.427230393946         0.000000e+00
1.3207	1.427153839787         0.000000e+00
1.3364	1.427077788453         0.000000e+00
1.3520	1.427002190409         0.000000e+00
1.3677	1.426926998946         0.000000e+00
1.3833	1.426852169987         0.000000e+00
1.3990	1.426777661908         0.000000e+00
1.4146	1.426703435373         0.000000e+00
1.4303	1.426629453188         0.000000e+00
1.4460	1.426555680157         0.000000e+00
1.4616	1.426482082954         0.000000e+00
1.4773	1.426408630005         0.000000e+00
1.4929	1.426335291375         0.000000e+00
1.5086	1.426262038666         0.000000e+00
1.5242	1.426188844923         0.000000e+00
1.5399	1.426115684546         0.000000e+00
1.5556	1.426042533205         0.000000e+00
1.5712	1.425969367766         0.000000e+00
1.5869	1.425896166218         0.000000e+00
1.6025	1.425822907610         0.000000e+00
1.6182	1.425749571986         0.000000e+00
1.6338	1.425676140329         0.000000e+00
1.6495	1.425602594507         0.000000e+00
1.6652	1.425528917222         0.000000e+00
1.6808	1.425455091965         0.000000e+00
1.6965	1.425381102969         0.000000e+00
1.7121	1.425306935172         0.000000e+00
1.7278	1.425232574175         0.000000e+00
1.7434	1.425158006209         0.000000e+00
1.7591	1.425083218097         0.000000e+00
1.7747	1.425008197227         0.000000e+00
1.7904	1.424932931519         0.000000e+00
1.8061	1.424857409399         0.000000e+00
1.8217	1.424781619771         0.000000e+00
1.8374	1.424705551994         0.000000e+00
1.8530	1.424629195859         0.000000e+00
1.8687	1.424552541564         0.000000e+00
1.8843	1.424475579696         0.000000e+00
1.9000	1.424398301214         0.000000e+00
