0.3650	1.593973421407         0.000000e+00
0.3815	1.590278819847         0.000000e+00
0.3980	1.587105683598         0.000000e+00
0.4145	1.584353710179         0.000000e+00
0.4311	1.581946821252         0.000000e+00
0.4476	1.579826106174         0.000000e+00
0.4641	1.577945162597         0.000000e+00
0.4806	1.576266910708         0.000000e+00
0.4971	1.574761351841         0.000000e+00
0.5136	1.573403953432         0.000000e+00
0.5302	1.572174461512         0.000000e+00
0.5467	1.571056012245         0.000000e+00
0.5632	1.570034457081         0.000000e+00
0.5797	1.569097843286         0.000000e+00
0.5962	1.568236009325         0.000000e+00
0.6127	1.567440266349         0.000000e+00
0.6292	1.566703145048         0.000000e+00
0.6458	1.566018192700         0.000000e+00
0.6623	1.565379809167         0.000000e+00
0.6788	1.564783113385         0.000000e+00
0.6953	1.564223833955         0.000000e+00
0.7118	1.563698218904         0.000000e+00
0.7283	1.563202960842         0.000000e+00
0.7448	1.562735134531         0.000000e+00
0.7614	1.562292144560         0.000000e+00
0.7779	1.561871681264         0.000000e+00
0.7944	1.561471683430         0.000000e+00
0.8109	1.561090306612         0.000000e+00
0.8274	1.560725896091         0.000000e+00
0.8439	1.560376963728         0.000000e+00
0.8605	1.560042168063         0.000000e+00
0.8770	1.559720297155         0.000000e+00
0.8935	1.559410253735         0.000000e+00
0.9100	1.559111042314         0.000000e+00
0.9265	1.558821757966         0.000000e+00
0.9430	1.558541576534         0.000000e+00
0.9595	1.558269746050         0.000000e+00
0.9761	1.558005579215         0.000000e+00
0.9926	1.557748446772         0.000000e+00
1.0091	1.557497771665         0.000000e+00
1.0256	1.557253023878         0.000000e+00
1.0421	1.557013715856         0.000000e+00
1.0586	1.556779398443         0.000000e+00
1.0752	1.556549657268         0.000000e+00
1.0917	1.556324109521         0.000000e+00
1.1082	1.556102401072         0.000000e+00
1.1247	1.555884203899         0.000000e+00
1.1412	1.555669213773         0.000000e+00
1.1577	1.555457148186         0.000000e+00
1.1742	1.555247744484         0.000000e+00
1.1908	1.555040758185         0.000000e+00
1.2073	1.554835961463         0.000000e+00
1.2238	1.554633141772         0.000000e+00
1.2403	1.554432100610         0.000000e+00
1.2568	1.554232652387         0.000000e+00
1.2733	1.554034623407         0.000000e+00
1.2898	1.553837850941         0.000000e+00
1.3064	1.553642182373         0.000000e+00
1.3229	1.553447474440         0.000000e+00
1.3394	1.553253592522         0.000000e+00
1.3559	1.553060410001         0.000000e+00
1.3724	1.552867807673         0.000000e+00
1.3889	1.552675673211         0.000000e+00
1.4055	1.552483900674         0.000000e+00
1.4220	1.552292390046         0.000000e+00
1.4385	1.552101046830         0.000000e+00
1.4550	1.551909781658         0.000000e+00
1.4715	1.551718509941         0.000000e+00
1.4880	1.551527151548         0.000000e+00
1.5045	1.551335630499         0.000000e+00
1.5211	1.551143874697         0.000000e+00
1.5376	1.550951815664         0.000000e+00
1.5541	1.550759388311         0.000000e+00
1.5706	1.550566530719         0.000000e+00
1.5871	1.550373183929         0.000000e+00
1.6036	1.550179291764         0.000000e+00
1.6202	1.549984800647         0.000000e+00
1.6367	1.549789659441         0.000000e+00
1.6532	1.549593819301         0.000000e+00
1.6697	1.549397233528         0.000000e+00
1.6862	1.549199857445         0.000000e+00
1.7027	1.549001648269         0.000000e+00
1.7192	1.548802565001         0.000000e+00
1.7358	1.548602568322         0.000000e+00
1.7523	1.548401620488         0.000000e+00
1.7688	1.548199685244         0.000000e+00
1.7853	1.547996727733         0.000000e+00
1.8018	1.547792714417         0.000000e+00
1.8183	1.547587613003         0.000000e+00
1.8348	1.547381392367         0.000000e+00
1.8514	1.547174022494         0.000000e+00
1.8679	1.546965474409         0.000000e+00
1.8844	1.546755720123         0.000000e+00
1.9009	1.546544732577         0.000000e+00
1.9174	1.546332485589         0.000000e+00
1.9339	1.546118953806         0.000000e+00
1.9505	1.545904112660         0.000000e+00
1.9670	1.545687938319         0.000000e+00
1.9835	1.545470407655         0.000000e+00
2.0000	1.545251498200         0.000000e+00
