#Glass materials Database#Name: Glass name
#LambdaMin, LambdaMax: wavelength range (um)
#K1,L1,K2,L2,K3,L3: Sellmeier1 coeficients.
#Name                       LambdaMin	LambdaMax		K1		L1		K2		L2	      K3               L3			
BK7G18                     0.380000	2.500000	1.265385420E+00	8.131040780E-03	1.441910730E-02	5.433032260E-02	1.003230280E+00	1.028211660E+02
F2                         0.320000	2.500000	1.345333590E+00	9.977438710E-03	2.090731760E-01	4.704507670E-02	9.373571620E-01	1.118867640E+02
F2G12                      0.400000	2.500000	1.347022240E+00	9.808505530E-03	2.100377630E-01	4.717880180E-02	1.953507680E+01	2.279154700E+03
F2HT                       0.320000	2.500000	1.345333590E+00	9.977438710E-03	2.090731760E-01	4.704507670E-02	9.373571620E-01	1.118867640E+02
F2HTI                      0.334000	2.500000	0.000000000E+00	9.977438710E-03	2.090731760E-01	4.704507670E-02	9.373571620E-01	1.118867640E+02
F5                         0.320000	2.500000	1.310446300E+00	9.586330480E-03	1.960342600E-01	4.576276270E-02	9.661297700E-01	1.150118830E+02
FK5HTI                     0.250000	2.500000	9.093621800E-01	5.201424700E-03	2.790770540E-01	1.589384460E-02	8.918132980E-01	9.591094480E+01
K10                        0.300000	2.500000	1.156870820E+00	8.094242510E-03	6.426254440E-02	3.860512840E-02	8.723761390E-01	1.047477300E+02
K5G20                      0.370000	2.500000	1.140943960E+00	6.949454780E-03	1.450011900E-01	3.105744440E-02	3.747057860E+01	4.536256240E+03
LAFN7                      0.350000	2.500000	1.668426150E+00	1.031599990E-02	2.985128030E-01	4.692163480E-02	1.077437600E+00	8.250785090E+01
LAK9G15                    0.380000	2.500000	1.287736670E+00	5.575419200E-03	5.182448530E-01	2.236795240E-02	2.617561090E+01	1.892253300E+03
LASF35                     0.370000	2.500000	2.455058610E+00	1.356704040E-02	4.530060770E-01	5.458030200E-02	2.385130800E+00	1.679047150E+02
LF5                        0.320000	2.325000	1.280356280E+00	9.298544160E-03	1.635059730E-01	4.491357690E-02	8.939301120E-01	1.104936850E+02
LF5G19                     0.400000	2.500000	1.346113270E+00	9.717438500E-03	1.424280180E-01	5.019116190E-02	9.004771760E-01	1.119597030E+02
LF5HTI                     0.310000	2.500000	1.285529240E+00	9.398862600E-03	1.583576220E-01	4.525666590E-02	8.921751220E-01	1.105448290E+02
LLF1                       0.310000	2.500000	1.216401250E+00	8.578072480E-03	1.336645400E-01	4.201430030E-02	8.833994680E-01	1.075930600E+02
LLF1HTI                    0.300000	2.500000	1.225104450E+00	8.704320980E-03	1.251556710E-01	4.273252350E-02	8.922367510E-01	1.080499680E+02
N-BAF10                    0.350000	2.500000	1.585149500E+00	9.266812820E-03	1.435593850E-01	4.244898050E-02	1.085212690E+00	1.056135730E+02
N-BAF4                     0.365000	2.500000	1.420563280E+00	9.420153820E-03	1.027212690E-01	5.310872910E-02	1.143809760E+00	1.102788560E+02
N-BAF51                    0.350000	2.500000	1.515036230E+00	9.427347150E-03	1.536219580E-01	4.308265000E-02	1.154279090E+00	1.248898680E+02
